QTYRANK,DOLLARRANK,INDEX,ITEM CODE,DESCRIPTION,PRICE,VENDOR,Month,CreativeTeam,Writer,InteriorArtist,CoverArtist,WriterIsArtist,WriterIsCoverArtist,ArtistIsCoverArtist,Volume,CreatorOwned
72,47,1.13,JUN170390,BATMAN DARK KNIGHT MASTER RACE,29.99,DC,2017-10-01,"(W) Frank Miller, Brian Azzarello (A) Frank Miller, Klaus Janson, John Romita, Eduardo Risso (A/CA) Andy Kubert","Frank Miller, Brian Azzarello","Frank Miller, Klaus Janson, John Romita, Eduardo Risso,Andy Kubert",Andy Kubert,False,False,True,1.0,False
73,25,1.13,MAY170634-M,LOW DLX,49.99,Image,2017-10-01,"(W) Rick Remender (A/CA) Greg Tocchini, Dave McCaig",Rick Remender,"Greg Tocchini, Dave McCaig","Greg Tocchini, Dave McCaig",False,False,True,1.0,True
74,113,1.12,AUG171020,INVINCIBLE IRON MAN,15.99,Marvel,2017-10-01,"(W) Brian Michael Bendis (A) Mark Bagley, Marko Djurdjevic (A/CA) Mike Deodato",Brian Michael Bendis,"Mark Bagley, Marko Djurdjevic,Mike Deodato",Mike Deodato,False,False,True,3.0,False
75,9,1.11,APR170428,JUSTICE LEAGUE INTERNATIONAL OMNIBUS,99.99,DC,2017-10-01,"(W) Keith Giffen, J. M. DeMatteis, John Ostrander (A) Keith Giffen, Mike McKone, Steve Leialoha, Ty Templeton, Tim Gula, Bart Sears, Bill Willingham, Luke McDonnell, Terry Austin, Dennis Janke, P. Craig Russell, Bill Wray, Robert Campanella, Bruce D. Patterson, Dick Giordano, Bob Lewis, Joe Rubinstein, Pablo Marcos (A/CA) Kevin Maguire","Keith Giffen, J. M. DeMatteis, John Ostrander","Keith Giffen, Mike McKone, Steve Leialoha, Ty Templeton, Tim Gula, Bart Sears, Bill Willingham, Luke McDonnell, Terry Austin, Dennis Janke, P. Craig Russell, Bill Wray, Robert Campanella, Bruce D. Patterson, Dick Giordano, Bob Lewis, Joe Rubinstein, Pablo Marcos,Kevin Maguire",Kevin Maguire,False,False,True,1.0,False
76,291,1.11,JUL150832,MAGNETO,15.99,Marvel,2017-10-01,(W) Cullen Bunn (A) Paul Davidson (CA) David Yardin,Cullen Bunn,Paul Davidson,David Yardin,False,False,False,4.0,False
77,96,1.11,JUN171327,MIGHTY MORPHIN POWER RANGERS,16.99,Boom!,2017-10-01,"(W) Kyle Higgins, Ryan Ferrier (A) Hendry Prasetya (CA) Goni Montes","Kyle Higgins, Ryan Ferrier",Hendry Prasetya,Goni Montes,False,False,False,4.0,False
78,142,1.09,JUN170777,PAPER GIRLS,12.99,Image,2017-10-01,(W) Brian K. Vaughan (A/CA) Cliff Chiang,Brian K. Vaughan,Cliff Chiang,Cliff Chiang,False,False,True,3.0,True
79,93,1.09,JUN171831,TEA DRAGON SOCIETY,17.99,Oni,2017-10-01,(W) Katie O'Neill (A/CA) Katie O'Neill,Katie O'Neill,Katie O'Neill,Katie O'Neill,False,False,True,1.0,True
80,42,1.07,JUL171233,MARVEL HORROR MAGAZINE COLLECTION,34.99,Marvel,2017-10-01,"(W) Chris Claremont, Doug Moench, Tony Isabella, Don McGregor, Bruce Jones, J. M. DeMatteis, Steve Perry (A) Tony DeZuniga, Rico Rival, Vicente Alcazar, Ernie Chan, Michael Golden, Dave Simons, Bob Hall, Geof Isherwood, Stephen R. Bissette, JUAN Boix (CA) Gene Colan, Gil Kane (A/CA) Billy Graham","Chris Claremont, Doug Moench, Tony Isabella, Don McGregor, Bruce Jones, J. M. DeMatteis, Steve Perry","Tony DeZuniga, Rico Rival, Vicente Alcazar, Ernie Chan, Michael Golden, Dave Simons, Bob Hall, Geof Isherwood, Stephen R. Bissette, JUAN Boix,Billy Graham","Gene Colan, Gil Kane,Billy Graham",False,False,True,1.0,False
81,36,1.06,JUL171232,WEREWOLF BY NIGHT COMPLETE COLLECTION,39.99,Marvel,2017-10-01,"(W) Gerry Conway, Len Wein, Marv Wolfman (A) Mike Ploog, Werner Roth, Tom Sutton, Gil Kane, Ross Andru, Gene Colan (CA) Neal Adams, John Romita","Gerry Conway, Len Wein, Marv Wolfman","Mike Ploog, Werner Roth, Tom Sutton, Gil Kane, Ross Andru, Gene Colan","Neal Adams, John Romita",False,False,False,1.0,False
